table_name	column_name	ordinal_position	data_type	is_nullable	column_default
device_scoring_rule	create_time	5	datetime	YES	<NULL>
device_scoring_rule	device_id	2	int	YES	<NULL>
device_scoring_rule	id	1	int	NO	<NULL>
device_scoring_rule	name	3	varchar	YES	<NULL>
device_scoring_rule	rule_content	4	longtext	YES	<NULL>
general_key_pat	create_time	4	datetime	YES	<NULL>
general_key_pat	create_user	5	varchar	YES	<NULL>
general_key_pat	end_time	6	datetime	YES	<NULL>
general_key_pat	id	1	int	NO	<NULL>
general_key_pat	is_average	7	int	YES	<NULL>
general_key_pat	is_cable	3	int	YES	<NULL>
general_key_pat	is_random	8	int	YES	<NULL>
general_key_pat	message_type	9	int	YES	<NULL>
general_key_pat	rule_content	10	longtext	YES	<NULL>
general_key_pat	rule_id	11	varchar	YES	<NULL>
general_key_pat	start_time	12	datetime	YES	<NULL>
general_key_pat	status	13	int	YES	<NULL>
general_key_pat	title	2	varchar	YES	<NULL>
general_key_pat	total_number	14	int	YES	<NULL>
general_key_pat	train_type	15	int	YES	<NULL>
general_key_pat	up_id	17	varchar	YES	<NULL>
general_key_pat	valid_time	16	bigint	YES	<NULL>
general_key_pat_page	id	1	varchar	NO	<NULL>
general_key_pat_page	key	5	varchar	YES	<NULL>
general_key_pat_page	page_number	3	int	YES	<NULL>
general_key_pat_page	sort	4	int	YES	<NULL>
general_key_pat_page	time	7	varchar	YES	<NULL>
general_key_pat_page	train_id	2	int	YES	<NULL>
general_key_pat_page	value	6	varchar	YES	<NULL>
general_key_pat_train_more	id	1	int	NO	<NULL>
general_key_pat_train_more	more_group	4	varchar	YES	<NULL>
general_key_pat_train_more	more_line	5	varchar	YES	<NULL>
general_key_pat_train_more	page_number	6	int	YES	<NULL>
general_key_pat_train_more	train_id	2	int	YES	<NULL>
general_key_pat_train_more	user_id	3	varchar	YES	<NULL>
general_key_pat_user	accuracy	5	varchar	YES	<NULL>
general_key_pat_user	content	6	varchar	YES	<NULL>
general_key_pat_user	create_time	10	datetime	YES	<NULL>
general_key_pat_user	deduct_info	7	longtext	YES	<NULL>
general_key_pat_user	duration	8	longtext	YES	<NULL>
general_key_pat_user	error_number	9	int	YES	<NULL>
general_key_pat_user	finish_time	11	datetime	YES	<NULL>
general_key_pat_user	id	1	int	NO	<NULL>
general_key_pat_user	is_finish	4	int	YES	<NULL>
general_key_pat_user	role	12	int	YES	<NULL>
general_key_pat_user	score	13	decimal	YES	<NULL>
general_key_pat_user	speed	14	varchar	YES	<NULL>
general_key_pat_user	statistic_info	15	longtext	YES	<NULL>
general_key_pat_user	train_id	2	int	YES	<NULL>
general_key_pat_user	user_id	3	varchar	YES	<NULL>
general_key_pat_user_value	id	1	int	NO	<NULL>
general_key_pat_user_value	key	6	varchar	YES	<NULL>
general_key_pat_user_value	page_number	4	int	YES	<NULL>
general_key_pat_user_value	sort	5	int	YES	<NULL>
general_key_pat_user_value	time	8	varchar	YES	<NULL>
general_key_pat_user_value	train_id	2	int	YES	<NULL>
general_key_pat_user_value	user_id	3	varchar	YES	<NULL>
general_key_pat_user_value	value	7	varchar	YES	<NULL>
general_key_pat_user_value_resolver	id	1	int	NO	<NULL>
general_key_pat_user_value_resolver	key	6	varchar	YES	<NULL>
general_key_pat_user_value_resolver	page_number	4	int	YES	<NULL>
general_key_pat_user_value_resolver	sort	5	int	YES	<NULL>
general_key_pat_user_value_resolver	time	8	varchar	YES	<NULL>
general_key_pat_user_value_resolver	train_id	2	int	YES	<NULL>
general_key_pat_user_value_resolver	user_id	3	varchar	YES	<NULL>
general_key_pat_user_value_resolver	value	7	varchar	YES	<NULL>
general_telex_pat	create_time	7	datetime	YES	<NULL>
general_telex_pat	create_user	11	varchar	YES	<NULL>
general_telex_pat	end_time	8	datetime	YES	<NULL>
general_telex_pat	id	12	varchar	NO	<NULL>
general_telex_pat	is_cable	1	int	YES	<NULL>
general_telex_pat	pat_type	2	int	YES	<NULL>
general_telex_pat	rule_content	13	varchar	YES	<NULL>
general_telex_pat	rule_id	14	varchar	YES	<NULL>
general_telex_pat	start_time	9	datetime	YES	<NULL>
general_telex_pat	status	3	int	YES	<NULL>
general_telex_pat	title	15	varchar	YES	<NULL>
