table_name	engine
device_scoring_rule	InnoDB
general_key_pat	InnoDB
general_key_pat_page	InnoDB
general_key_pat_train_more	InnoDB
general_key_pat_user	InnoDB
general_key_pat_user_value	InnoDB
general_key_pat_user_value_resolver	InnoDB
general_telex_pat	InnoDB
general_telex_pat_page	InnoDB
general_telex_pat_user	InnoDB
general_telex_pat_user_value	InnoDB
general_ticker_pat	InnoDB
general_ticker_pat_train_page	InnoDB
general_ticker_pat_train_user	InnoDB
general_ticker_pat_train_user_value	InnoDB
group_net_train	InnoDB
hand_key_err_log	InnoDB
seq	InnoDB
simulation_router_room	InnoDB
simulation_router_room_content	InnoDB
simulation_router_room_page	InnoDB
simulation_router_room_page_value	InnoDB
simulation_router_room_user	InnoDB
t_cable	InnoDB
t_cable_floor	InnoDB
t_cable_type	InnoDB
t_device	InnoDB
t_device_description	InnoDB
t_device_type	InnoDB
t_entering_exercise	InnoDB
t_entering_exercise_word_stock	InnoDB
t_entering_key_points	InnoDB
t_entering_statistical	InnoDB
t_entering_telex_pat	InnoDB
t_equipment_device	InnoDB
t_equipment_train	InnoDB
t_general_group_net_rule	InnoDB
t_grading_rule	InnoDB
t_key_points	InnoDB
t_masthead	InnoDB
t_menus	InnoDB
t_menus_button	InnoDB
t_military_term_data	InnoDB
t_post_entering_exercise	InnoDB
t_post_entering_exercise_word_stock	InnoDB
t_post_military_term_train	InnoDB
t_post_military_term_train_test_paper	InnoDB
t_post_radiotelephone_term_data	InnoDB
t_post_radiotelephone_train	InnoDB
t_post_telegram_train	InnoDB
t_post_telegram_train_content_value	InnoDB
t_post_telegram_train_floor_content	InnoDB
t_post_telegram_train_floor_content_value	InnoDB
t_post_telegraph_key_pat_train	InnoDB
t_post_telegraph_key_pat_train_more	InnoDB
t_post_telegraph_key_pat_train_page	InnoDB
t_post_telegraph_key_pat_train_page_value	InnoDB
t_post_telegraph_key_pat_train_raw_page	InnoDB
t_post_telex_pat_train	InnoDB
t_post_telex_pat_train_page	InnoDB
t_post_telex_pat_train_page_value	InnoDB
t_post_ticker_tape_train	InnoDB
t_post_ticker_tape_train_page	InnoDB
t_post_ticker_tape_train_page_value	InnoDB
t_post_ticker_tape_train_setting	InnoDB
t_post_train_global_rule	InnoDB
t_radiotelephone_train	InnoDB
t_receive_key_points	InnoDB
t_role	InnoDB
t_role_menus	InnoDB
t_setting	InnoDB
t_telegram_train	InnoDB
t_telegram_train_floor	InnoDB
t_telegram_train_floor_content	InnoDB
t_telegram_train_log	InnoDB
t_telegram_train_setting	InnoDB
t_telegram_train_statistical	InnoDB
t_telegram_train_user	InnoDB
t_telegraph_key_pat_synthetical_train	InnoDB
t_telegraph_key_pat_train	InnoDB
t_telegraph_key_train_statistical	InnoDB
t_telex_pat	InnoDB
t_telex_pat_train	InnoDB
t_telex_pat_train_statistical	InnoDB
t_theory_knowledge	InnoDB
t_theory_knowledge_classify	InnoDB
t_theory_knowledge_exam	InnoDB
t_theory_knowledge_exam_test_paper	InnoDB
t_theory_knowledge_exam_user	InnoDB
t_theory_knowledge_swf	InnoDB
t_theory_knowledge_swf_record	InnoDB
t_theory_knowledge_test	InnoDB
t_theory_knowledge_test_content	InnoDB
t_theory_knowledge_test_fallible	InnoDB
t_theory_knowledge_test_paper	InnoDB
t_theory_knowledge_test_paper_question	InnoDB
t_theory_knowledge_test_user	InnoDB
t_theory_question	InnoDB
t_theory_question_level	InnoDB
t_ticker_tape_train	InnoDB
t_ticker_tape_train_setting	InnoDB
t_ticker_tape_train_stage_setting	InnoDB
t_ticker_tape_train_statistical	InnoDB
t_union_room	InnoDB
t_user	InnoDB
t_user_role	InnoDB
